"{113VdSwhq9kDhdQhKDNjUirudSHoJAZAR9}\t"	[1, 7126.886]
"{114qtqoxSVWXveNxkM2yJ8DvL9zvg1Vpgj}\t"	[2, 5532.88887152]
"{115mYPQa5aYaPEKHCr8xwygVCnqTTost44}\t"	[3, 9204.000001]
"{115nzzJS8vZBkRfBA2a4TEFNhyXJiYgBZJ}\t"	[4, 4120.0]
"{116EZE1RAWx2Aj4NjV1exgF3rodFoPdbu}\t"	[5, 10000.0]
"{11CWSXL9ahce2c9md8yW3atPkt6VdGzJ4}\t"	[6, 11000.0]
"{121UZmRMTBd3QwR7SW5Uu4co5vqf8t79ty}\t"	[7, 8623.0]
"{121tQm1FCUSLzwQrVTkm4dnmqHSw7kqrtn}\t"	[8, 5268.40570974]
"{121uRxrPXbgR4RrJzsMhuoHUhjhzqzr7KQ}\t"	[9, 4513.14871688]
"{1233PcEk69WyDSLBL7TbeR1jwG5cwoDqh9}\t"	[10, 12950.0]
"{123UCC2UsjQFzvNHL7vRyKUs3KuiNPNAqc}\t"	[11, 4660.05186488]
"{124eKGRSGhy5HkuBkPzdm7QKFwR8BCi3bN}\t"	[12, 6106.59386874]
"{125cpcr1Y1LPCj2qJEbXbnJgxReJS1eUC2}\t"	[13, 4382.56328849]
"{128xfdzWaKJ4UozL42g9eXvNXuLq4ATDa2}\t"	[14, 4885.0]
"{1291tgWhMDTzAeP4x7PoFxF4tHbNW7kJRT}\t"	[15, 4461.27396]
"{129GMPhks7k5bQnNJM4byLb4bE9nHCBSqP}\t"	[16, 8449.0]
"{129dNwhxt6SjdR5zFGjJEAvGKWr4uqjdeh}\t"	[17, 4994.96]
"{129eDx6NjBAsoPtfeNyhev1C1KNvWcn84h}\t"	[18, 5099.45238181]
"{12AFbpY4kBjBLuXr8fBfwDCWoojSkirLPL}\t"	[19, 5917.34548002]
"{12CuRmgVY7rvdcpDhcTW5LvYBQo1GEofio}\t"	[20, 48215.727]
"{12CuvKth64NkeJsgAwzGd8W8tqSdCotvz3}\t"	[21, 4145.27]
"{12DZjBLZQpU2pJGqNfuQscMMkxfTe2ozzN}\t"	[22, 10000.0]
"{12Dh77s4tgBqXMUvejnxtyUYiGYNHTwFdG}\t"	[23, 5603.49725594]
"{12ECH6fMQh1us2jgCbZkha6eqHR9td7uoP}\t"	[24, 4827.20841472]
"{12Fgb3GfyqcyQTFskZoJx7snhG678yV7uU}\t"	[25, 5852.859]
"{12GPkzfFuuxqSywZgyBoeXMsRJ42Jp4tHo}\t"	[26, 6800.0]
"{12GtH2XQQDSx6kb36hUU2bM7epN23WXAdP}\t"	[27, 5000.0]
"{12HBcm2SZcsi4zsHbKvCVsRkQao2u39Q8S}\t"	[28, 9161.46]
"{12HCrJfr4JGDvUx9TPzqGqZDeo6zaAbPrW}\t"	[29, 6973.35632162]
"{12HGnZTRRZXaCqa5giNPsu6d7Fv2XuC6cp}\t"	[30, 4058.67556985]
"{12Lr1yy8J9q8EEFxzCvBCgCFSNCwGSpA6U}\t"	[31, 7033.23]
"{12N8qUq8Ey9B7PQxb5rzJ9LZ9VEVv399WX}\t"	[32, 7096.73649586]
"{12NamE2MmfumM8JMiriJkKEWB2kj8FJjo8}\t"	[33, 4162.37024]
"{12PpBk4ygp1C3RSQVyg4nh9SvxqSfRdeRb}\t"	[34, 5300.50348832]
"{12QAiqRWQtqkVnRG6UasuMnZSnHfUTKkhS}\t"	[35, 6848.72755663]
"{12RMKMXRpzRcmVoimAWrt4ynjB9yzGJxrU}\t"	[36, 27008.60794501]
"{12VdCcpHPTMBTLBaeswqoMyhXGAa9xBW9L}\t"	[37, 4025.50816]
"{12VsJ99RvByfe2hr2CMVZKtfp8y56wufhx}\t"	[38, 4486.57050165]
"{12W1j8mQiUHWXkRbejAtynhETUpfQhaNjz}\t"	[39, 6129.46344591]
"{12WEHP3PPrpCcBr9P7XcxfPoew21f2nMkq}\t"	[40, 4252.74973802]
"{12WmWuSQCgpEkPQTZ4ABijQaz6TCV69ZpE}\t"	[41, 105258.88]
"{12YBULmGSNvf6kz2KNn7P62QXJryASkMmh}\t"	[42, 7366.8926624]
"{12YEdWeMB1bY2U6DqfesWYA4icxH3DvfHL}\t"	[43, 6979.2347448]
"{12YfA4ioRX3QwfnAmeAaqfXA6VQqM85L1J}\t"	[44, 4105.63689]
"{12beEg5NBDgDD6GA2ihwPSR6ooKFdeBvgL}\t"	[45, 250000.0]
"{12c1tRLqbKHuYHni79A8d99Mtj15wpcZDe}\t"	[46, 6086.43679524]
"{12diFdFp2wbXatUCkG9m9463stbPnSQRw6}\t"	[47, 4635.52636215]
"{12f8joswqYZxoUyZjUjibrnAybkdQGR6Nz}\t"	[48, 4998.501]
"{12fRwazguWFA7DoKefukjgkdjiYaqQ4UCd}\t"	[49, 7000.0]
