"{12CDvRT86CRVbq6E9U95QFenHKWizXDaHj}"	[3.17875053, 23]
"{13ARRimWwGhXt7ozfRy6PTyZcyWxhmM1Gp}"	[6.549563539999999, 22]
"{15ZY5nbr2SLtAP22La7323uTBEsM9XxfTZ}"	[1.07554968, 27]
"{17CzqBcwuB1aJTWEkJwhNYQuat3kKEoumE}"	[0.92701449, 33]
"{186pHM1up927B9MC27aaics6B8W7bfVpQn}"	[6.325310569999999, 25]
"{1Bet56kWEpCq8ugG9tqAkLNXqaAQ4eUALp}"	[0.9801000000000002, 21]
"{1Bet5o5o23jaRB9kKNxqZ5KeBqoSm5Fh56}"	[2.43084268, 34]
"{1CaNHx4vzpmPBv4a6U7pcKQF6R8U6JeLUy}"	[1.1387930099999999, 26]
"{1Gemk2fKb3hvgs4bi3hW3y8vCaJJrx42NC}"	[1.70036502, 29]
"{1HZK8q2RhY718CZee51D5v7xtiHp9T92pN}"	[6.833645079999998, 24]
"{1J15UnwBV2uQtgPpEcmaaEbysqtNBCqMGQ}"	[7.931041669999998, 26]
"{1bones2wX8sqGHcuXeKPzHgZegtL2dnGC}"	[0.6924306800000001, 23]
"{1bones5gF1HJeiexQus6UtvhU4EUD4qfj}"	[1.2820448900000003, 25]
"{1bonesEeTcABPjLzAb1VkFgySY6Zqu3sX}"	[0.28559709000000005, 22]
"{1dice2vQoUkQwDMbfDACM1xz6svEXdhYb}"	[0.53428889, 28]
"{1dice2xkjAAiphomEJA5NoowpuJ18HT1s}"	[0.8441000200000003, 25]
"{1dice4J1mFEvVuFqD14HzdViHFGi9h4Pp}"	[3.281149999999999, 24]
"{1dice61SNWEKWdA8LN6G44ewsiQfuCvge}"	[1.03577841, 21]
"{1dice6GV5Rz2iaifPvX7RMjfhaNPC8SXH}"	[1.8581433200000004, 34]
